task_type,domain,input_language,privacy_requirement,hardware_available,hallucination_tolerance,determinism_needed,temperature_pref,output_style,best_model,score_GPT-4o,score_Gemini,score_Claude-2,score_Llama-3-70B,score_Deepseek
summarization,finance,pt,hybrid,cpu,medium,1,low,precise,Gemini,2.262,4.762,1.327,3.483,3.363
classification,general,en,cloud,cpu,medium,1,medium,factual,Llama-3-70B,0.174,0.909,2.871,3.993,2.242
summarization,ecommerce,en,cloud,pro_gpu,medium,0,high,factual,Gemini,2.889,3.426,1.682,1.516,0.839
generation,technical,pt,cloud,consumer_gpu,medium,0,low,factual,Gemini,1.328,4.036,0.089,1.114,3.326
reasoning,ecommerce,en,cloud,consumer_gpu,low,0,medium,precise,Claude-2,2.424,2.659,4.584,0.297,0.37
summarization,general,en,cloud,consumer_gpu,medium,1,medium,creative,GPT-4o,3.455,3.007,0.846,1.047,1.389
generation,technical,en,local,cpu,low,1,medium,formal,Deepseek,-2.234,1.367,-1.199,3.375,5.546
reasoning,technical,multi,hybrid,pro_gpu,medium,0,high,precise,Claude-2,2.758,2.035,3.784,1.659,0.289
generation,ecommerce,pt,cloud,cpu,low,1,high,precise,Gemini,-0.188,3.915,0.508,1.116,3.334
reasoning,technical,multi,hybrid,pro_gpu,high,0,low,creative,GPT-4o,3.417,0.978,2.819,1.653,1.247
extraction,finance,multi,local,cpu,high,0,low,formal,Llama-3-70B,-1.582,-0.178,-0.518,6.237,5.043
extraction,ecommerce,pt,cloud,pro_gpu,medium,0,high,formal,Llama-3-70B,1.028,1.464,-0.421,3.038,2.938
extraction,finance,pt,hybrid,consumer_gpu,low,1,low,factual,Gemini,0.827,4.47,3.142,4.291,3.943
reasoning,ecommerce,pt,cloud,consumer_gpu,medium,0,medium,precise,GPT-4o,2.734,1.333,2.302,0.779,0.569
classification,technical,pt,cloud,cpu,medium,0,high,creative,Llama-3-70B,0.978,0.699,0.699,3.968,2.516
classification,finance,pt,cloud,cpu,low,1,medium,factual,Llama-3-70B,-0.32,3.584,3.842,3.853,1.864
reasoning,finance,en,cloud,edge,high,0,high,precise,Claude-2,1.866,2.398,4.165,0.349,3.107
classification,legal,multi,cloud,cpu,low,0,low,precise,Claude-2,-0.48,3.406,5.398,4.017,0.395
reasoning,technical,multi,cloud,consumer_gpu,low,0,medium,precise,Claude-2,2.495,2.864,4.978,0.612,-0.998
summarization,medical,pt,hybrid,pro_gpu,low,0,high,factual,Gemini,2.238,5.987,2.639,1.678,1.763
extraction,general,pt,cloud,cpu,low,1,high,creative,Deepseek,0.411,1.306,-0.314,3.397,4.013
summarization,technical,pt,cloud,cpu,low,0,low,precise,Gemini,1.305,3.712,0.371,1.058,1.42
summarization,technical,multi,cloud,consumer_gpu,high,1,low,precise,Gemini,3.606,4.244,1.957,1.598,-0.17
summarization,technical,multi,cloud,consumer_gpu,low,0,high,factual,Gemini,2.433,4.577,2.64,0.422,-0.966
extraction,finance,pt,hybrid,edge,high,1,high,precise,Deepseek,0.032,2.201,0.787,3.538,5.99
reasoning,finance,pt,cloud,cpu,high,1,low,formal,Claude-2,2.203,1.489,2.687,2.327,2.555
generation,technical,pt,local,edge,high,1,medium,formal,Deepseek,-2.234,-0.36,-3.392,2.152,6.385
reasoning,legal,en,cloud,consumer_gpu,medium,1,low,formal,Claude-2,2.782,2.691,4.878,1.504,1.837
classification,medical,en,local,consumer_gpu,low,0,high,formal,Llama-3-70B,-1.503,1.616,3.524,4.805,3.239
reasoning,legal,en,cloud,edge,low,0,high,creative,Claude-2,2.168,2.495,4.313,-0.089,3.023
reasoning,legal,multi,local,cpu,low,1,medium,factual,Llama-3-70B,-0.335,1.742,3.126,3.477,2.594
reasoning,ecommerce,multi,cloud,consumer_gpu,high,1,medium,creative,GPT-4o,3.658,0.866,3.208,0.879,0.565
reasoning,medical,pt,cloud,consumer_gpu,high,0,high,formal,Claude-2,3.136,2.402,3.431,1.379,1.648
classification,medical,multi,hybrid,consumer_gpu,medium,1,low,formal,Claude-2,1.36,3.06,5.112,4.606,0.949
generation,legal,en,cloud,cpu,high,1,medium,factual,Gemini,0.292,4.264,2.803,2.327,4.227
reasoning,finance,pt,local,consumer_gpu,low,1,low,creative,Deepseek,1.537,1.531,2.106,3.54,3.869
extraction,general,pt,hybrid,consumer_gpu,low,1,low,formal,Deepseek,0.591,2.407,1.037,3.744,3.799
classification,technical,pt,cloud,consumer_gpu,medium,0,high,factual,Llama-3-70B,0.849,1.416,2.5,2.935,0.95
reasoning,general,pt,cloud,consumer_gpu,low,1,high,precise,Claude-2,2.766,2.811,3.291,0.933,0.371
classification,ecommerce,multi,local,pro_gpu,low,0,low,formal,Llama-3-70B,-1.314,0.011,2.054,4.806,1.102
summarization,legal,multi,cloud,pro_gpu,medium,1,low,precise,Gemini,3.408,5.715,3.427,1.632,0.091
reasoning,finance,multi,cloud,consumer_gpu,medium,0,high,creative,Claude-2,3.307,2.911,4.279,1.456,0.645
classification,finance,en,cloud,consumer_gpu,high,0,high,formal,Claude-2,1.061,2.663,4.672,3.383,1.467
classification,finance,en,local,consumer_gpu,low,0,low,formal,Llama-3-70B,-1.443,1.45,3.821,5.098,3.147
extraction,finance,en,cloud,cpu,medium,0,low,precise,Deepseek,0.333,2.635,2.436,4.041,4.38
classification,legal,multi,cloud,pro_gpu,medium,0,medium,formal,Claude-2,0.87,2.394,4.617,3.748,0.004
extraction,legal,multi,local,consumer_gpu,high,1,medium,formal,Llama-3-70B,-0.938,0.84,0.548,6.02,4.113
classification,ecommerce,multi,hybrid,cpu,medium,0,low,precise,Llama-3-70B,-0.152,1.051,2.976,4.858,1.235
extraction,ecommerce,multi,cloud,pro_gpu,low,1,medium,factual,Claude-2,0.472,2.455,2.658,2.33,0.884
summarization,medical,multi,hybrid,consumer_gpu,high,1,low,precise,Gemini,3.418,5.834,3.579,2.361,1.189
summarization,technical,pt,cloud,cpu,high,0,high,factual,Gemini,2.439,2.778,-0.627,1.803,1.643
generation,medical,pt,cloud,edge,medium,1,medium,creative,Deepseek,0.83,3.476,0.084,0.323,5.613
summarization,general,pt,cloud,consumer_gpu,high,1,low,creative,GPT-4o,4.144,3.225,0.145,1.22,2.045
classification,medical,multi,cloud,consumer_gpu,medium,1,low,precise,Claude-2,1.487,3.216,5.148,3.495,0.553
reasoning,finance,pt,local,consumer_gpu,low,0,high,factual,Deepseek,0.39,2.712,2.587,3.037,3.308
summarization,legal,en,cloud,consumer_gpu,low,0,medium,precise,Gemini,2.901,6.612,4.442,1.205,1.119
reasoning,medical,en,local,consumer_gpu,low,1,high,formal,Claude-2,0.656,1.39,3.336,2.999,2.966
reasoning,general,pt,cloud,edge,medium,1,medium,factual,Deepseek,1.909,0.839,1.391,0.018,2.796
generation,finance,multi,hybrid,cpu,medium,0,medium,precise,Gemini,-0.028,4.361,2.257,2.727,3.583
summarization,finance,en,cloud,consumer_gpu,medium,0,medium,factual,Gemini,2.976,5.503,3.326,1.295,1.871
generation,finance,en,cloud,consumer_gpu,high,0,high,creative,Gemini,1.944,4.616,2.455,1.308,4.126
reasoning,technical,pt,cloud,consumer_gpu,high,0,medium,factual,GPT-4o,3.218,2.077,2.509,0.902,0.776
summarization,technical,en,cloud,consumer_gpu,high,1,medium,creative,GPT-4o,3.728,2.646,1.065,0.97,1.607
reasoning,ecommerce,en,cloud,consumer_gpu,high,1,high,creative,GPT-4o,3.381,1.103,2.893,0.766,1.126
generation,technical,multi,cloud,edge,low,0,high,precise,Gemini,-0.506,4.054,2.032,-0.591,2.38
summarization,technical,multi,cloud,edge,high,1,medium,factual,Gemini,2.094,2.5,0.76,0.153,1.245
classification,general,pt,cloud,consumer_gpu,high,0,medium,precise,Llama-3-70B,0.98,1.659,2.024,2.835,0.955
reasoning,finance,multi,cloud,consumer_gpu,medium,0,medium,creative,Claude-2,3.773,2.683,4.339,1.799,0.646
generation,finance,pt,cloud,edge,low,1,medium,precise,Gemini,-0.504,5.051,1.215,0.177,4.647
reasoning,legal,multi,cloud,consumer_gpu,medium,1,medium,creative,Claude-2,3.644,2.513,4.603,1.187,0.594
generation,general,multi,cloud,pro_gpu,high,0,high,formal,Gemini,1.159,2.749,1.059,0.729,1.593
summarization,ecommerce,pt,cloud,consumer_gpu,medium,1,low,factual,Gemini,3.293,3.677,0.733,1.153,1.138
summarization,legal,multi,local,consumer_gpu,high,0,medium,factual,Llama-3-70B,1.04,3.43,0.997,3.512,2.086
reasoning,general,multi,cloud,consumer_gpu,high,0,high,creative,GPT-4o,3.839,1.035,2.927,0.834,0.217
extraction,legal,en,cloud,consumer_gpu,medium,1,high,precise,Llama-3-70B,0.786,2.616,3.287,3.681,3.027
extraction,finance,multi,cloud,cpu,medium,1,high,formal,Llama-3-70B,-0.002,1.824,2.111,4.304,2.654
generation,ecommerce,multi,cloud,cpu,low,0,medium,creative,Gemini,0.363,3.475,1.071,1.14,2.403
summarization,medical,multi,cloud,consumer_gpu,high,0,high,factual,Gemini,2.809,5.225,3.525,1.565,-0.05
reasoning,legal,en,local,consumer_gpu,high,0,high,formal,Llama-3-70B,0.942,0.187,2.677,3.484,3.464
reasoning,medical,pt,cloud,pro_gpu,high,0,medium,creative,GPT-4o,4.339,2.56,2.85,1.415,2.43
reasoning,legal,pt,local,edge,high,1,medium,factual,Deepseek,0.023,-0.088,0.884,2.366,5.375
reasoning,technical,en,cloud,cpu,low,0,medium,creative,Claude-2,2.616,1.111,3.456,1.314,2.171
generation,legal,multi,cloud,pro_gpu,high,1,high,creative,Gemini,1.797,4.331,2.371,1.706,2.633
extraction,general,en,local,pro_gpu,medium,0,high,factual,Llama-3-70B,-1.081,-0.491,-0.215,5.413,4.786
extraction,legal,en,cloud,pro_gpu,low,1,low,factual,Gemini,0.805,4.782,4.484,3.39,3.088
generation,medical,pt,cloud,edge,low,0,high,precise,Gemini,-0.414,5.163,1.897,0.237,5.018
extraction,technical,en,cloud,cpu,low,0,low,precise,Deepseek,-0.184,1.965,1.939,3.229,3.368
extraction,medical,multi,cloud,consumer_gpu,high,1,medium,precise,Claude-2,0.941,3.234,3.464,3.299,2.228
extraction,technical,pt,cloud,pro_gpu,medium,0,medium,formal,Deepseek,1.263,0.976,-0.924,2.878,3.259
summarization,legal,pt,local,pro_gpu,high,1,medium,formal,Llama-3-70B,0.995,2.3,-1.101,3.668,3.609
extraction,technical,en,local,consumer_gpu,low,0,medium,precise,Deepseek,-1.548,0.627,0.622,4.316,4.823
generation,finance,en,cloud,cpu,high,0,high,factual,Gemini,0.136,4.643,2.704,2.5,4.214
generation,general,multi,cloud,edge,low,1,medium,precise,Gemini,-0.419,3.695,1.519,-0.435,2.264
generation,medical,multi,cloud,consumer_gpu,medium,1,high,creative,Gemini,1.938,4.407,2.54,1.557,2.648
classification,general,multi,local,consumer_gpu,low,0,medium,factual,Llama-3-70B,-1.383,0.605,2.874,4.231,1.025
classification,finance,pt,hybrid,edge,high,1,low,precise,Deepseek,0.688,2.3,2.864,3.703,4.136
classification,technical,en,cloud,consumer_gpu,high,0,low,factual,Claude-2,1.07,1.798,3.827,3.222,1.082
generation,technical,multi,local,consumer_gpu,low,0,low,formal,Deepseek,-1.548,2.135,0.38,2.473,2.805
reasoning,general,pt,cloud,consumer_gpu,medium,0,low,precise,GPT-4o,3.221,1.676,1.765,1.169,0.893
classification,finance,multi,cloud,cpu,medium,0,high,creative,Llama-3-70B,0.882,1.766,3.738,4.442,1.413
classification,medical,en,hybrid,cpu,low,0,low,creative,Claude-2,0.503,2.648,4.848,4.723,3.113
extraction,technical,pt,cloud,pro_gpu,high,0,medium,factual,Deepseek,1.217,1.593,0.362,3.073,3.368
summarization,general,pt,cloud,cpu,high,1,medium,factual,Gemini,2.155,2.83,-0.604,1.739,1.96
generation,legal,pt,cloud,cpu,high,1,high,creative,Deepseek,0.577,3.489,-0.014,2.49,5.342
generation,legal,multi,local,cpu,medium,1,high,creative,Deepseek,-1.121,1.666,-0.286,4.532,5.315
summarization,finance,en,cloud,consumer_gpu,high,0,high,creative,Gemini,3.748,4.695,2.6,1.538,2.4
generation,medical,pt,cloud,pro_gpu,medium,1,high,formal,Gemini,0.459,4.636,0.869,1.134,3.602
reasoning,general,pt,cloud,cpu,low,0,low,factual,Claude-2,1.975,1.873,2.591,1.622,1.563
extraction,medical,multi,local,pro_gpu,medium,1,low,formal,Llama-3-70B,-0.372,0.948,0.815,5.48,4.251
generation,general,en,cloud,edge,low,1,medium,creative,Deepseek,0.031,3.434,0.965,-0.475,4.81
generation,technical,en,local,pro_gpu,low,0,low,factual,Deepseek,-1.491,3.039,0.575,2.539,4.352
classification,finance,multi,local,consumer_gpu,high,0,low,creative,Llama-3-70B,-0.564,0.378,2.493,5.414,2.562
summarization,technical,pt,cloud,edge,high,1,low,precise,Gemini,2.019,2.983,-0.801,0.452,2.816
summarization,technical,en,local,cpu,low,1,medium,precise,Deepseek,-0.592,1.838,-0.25,3.364,3.568
extraction,general,en,local,consumer_gpu,low,1,medium,precise,Llama-3-70B,-1.875,0.723,0.668,4.634,4.543
classification,finance,multi,cloud,cpu,low,0,low,creative,Claude-2,0.25,2.636,4.541,4.015,1.004
classification,general,pt,cloud,consumer_gpu,low,0,low,factual,Claude-2,0.88,2.688,3.058,2.197,0.139
summarization,medical,pt,cloud,pro_gpu,medium,0,high,precise,Gemini,2.683,5.253,1.802,1.184,1.679
classification,ecommerce,multi,hybrid,cpu,high,0,medium,creative,Llama-3-70B,0.803,0.229,2.522,4.779,1.746
reasoning,medical,en,cloud,consumer_gpu,low,1,low,precise,Claude-2,2.622,4.07,6.356,1.258,1.103
extraction,medical,multi,local,consumer_gpu,high,1,low,formal,Llama-3-70B,-0.726,0.815,0.755,5.67,4.334
summarization,general,en,cloud,consumer_gpu,high,0,medium,creative,GPT-4o,3.788,2.782,1.282,0.98,1.704
reasoning,technical,multi,cloud,cpu,low,1,medium,creative,Claude-2,2.542,1.247,3.391,1.357,0.378
summarization,technical,en,cloud,edge,high,1,high,precise,Gemini,2.072,2.471,0.722,-0.007,2.458
reasoning,technical,pt,cloud,consumer_gpu,high,1,low,creative,GPT-4o,3.974,0.924,1.69,1.319,2.032
reasoning,technical,pt,cloud,consumer_gpu,medium,1,high,precise,GPT-4o,2.794,1.953,2.027,1.194,1.085
generation,finance,en,cloud,edge,low,0,low,creative,Deepseek,0.071,4.855,2.261,0.184,5.4
summarization,finance,en,cloud,cpu,medium,0,medium,precise,Gemini,2.066,4.678,2.35,2.358,2.352
reasoning,medical,pt,cloud,pro_gpu,medium,0,low,precise,Claude-2,2.973,3.362,3.859,1.15,1.761
summarization,general,multi,cloud,consumer_gpu,high,0,high,precise,Gemini,2.668,3.907,1.925,0.782,-0.582
generation,legal,pt,hybrid,pro_gpu,high,0,low,factual,Gemini,0.779,5.157,1.638,2.456,4.562
classification,legal,pt,cloud,pro_gpu,low,0,low,factual,Claude-2,0.779,4.088,4.658,2.663,0.839
generation,technical,multi,hybrid,cpu,high,1,low,creative,Deepseek,1.393,2.823,0.253,2.782,4.095
classification,legal,multi,cloud,cpu,medium,0,low,factual,Claude-2,0.256,2.238,4.485,4.205,0.797
classification,legal,multi,cloud,pro_gpu,medium,0,medium,factual,Claude-2,1.109,3.201,5.113,3.478,-0.018
summarization,medical,pt,hybrid,consumer_gpu,medium,0,low,formal,Gemini,2.926,4.448,1.32,2.412,2.241
generation,finance,en,hybrid,consumer_gpu,low,1,medium,formal,Gemini,0.639,5.433,3.735,1.874,3.779
reasoning,legal,multi,hybrid,consumer_gpu,high,0,medium,precise,Claude-2,3.09,2.886,4.975,2.061,0.829
reasoning,ecommerce,en,cloud,consumer_gpu,medium,1,medium,formal,GPT-4o,3.347,1.446,3.128,1.1,0.64
classification,medical,multi,cloud,pro_gpu,medium,0,medium,precise,Claude-2,0.891,3.042,5.076,3.466,-0.094
extraction,legal,pt,cloud,consumer_gpu,medium,0,low,factual,Deepseek,0.604,3.35,1.485,3.548,3.915
generation,legal,pt,cloud,consumer_gpu,high,1,high,creative,Deepseek,1.516,3.994,0.943,1.72,4.592
generation,ecommerce,multi,cloud,edge,medium,1,low,factual,Deepseek,0.054,3.099,0.907,0.279,3.829
classification,general,pt,cloud,cpu,high,1,low,precise,Llama-3-70B,0.199,1.251,1.794,4.317,2.12
extraction,legal,pt,cloud,cpu,medium,0,low,formal,Deepseek,0.262,1.622,0.254,4.231,4.424
extraction,technical,pt,local,pro_gpu,medium,0,medium,factual,Llama-3-70B,-1.074,-0.225,-1.806,5.225,4.99
extraction,general,en,cloud,cpu,low,1,high,factual,Deepseek,-0.655,2.152,1.719,3.169,3.181
generation,legal,multi,hybrid,consumer_gpu,high,1,low,formal,Gemini,1.575,4.373,3.428,2.811,3.145
reasoning,medical,multi,local,cpu,high,0,high,factual,Llama-3-70B,0.189,0.457,2.504,4.429,2.911
extraction,general,pt,local,edge,high,0,high,creative,Deepseek,-1.282,-2.039,-3.53,3.961,7.427
reasoning,legal,en,local,cpu,medium,0,high,creative,Deepseek,1.019,-0.888,1.831,4.339,4.996
generation,finance,pt,cloud,cpu,low,1,medium,creative,Gemini,0.322,4.925,1.39,1.645,4.581
classification,general,en,cloud,consumer_gpu,low,1,medium,factual,Claude-2,0.306,2.424,4.575,2.672,0.691
generation,ecommerce,en,cloud,consumer_gpu,high,0,low,factual,Gemini,1.103,3.845,1.803,0.872,3.086
classification,general,en,cloud,consumer_gpu,low,0,medium,formal,Claude-2,0.66,2.151,4.238,2.642,0.57
reasoning,legal,multi,cloud,edge,low,1,high,factual,Claude-2,1.714,3.195,5.024,-0.033,0.851
classification,finance,multi,cloud,pro_gpu,low,0,low,precise,Claude-2,0.365,4.171,6.042,2.938,-0.879
summarization,legal,en,local,pro_gpu,high,1,high,precise,Deepseek,1.043,3.2,1.037,3.632,3.688
generation,legal,pt,cloud,consumer_gpu,medium,0,low,precise,Gemini,0.678,5.047,1.546,1.312,3.666
classification,finance,pt,cloud,consumer_gpu,high,1,low,creative,Llama-3-70B,1.961,2.747,2.899,3.927,2.252
classification,legal,pt,local,edge,medium,0,medium,factual,Deepseek,-1.988,0.255,0.972,4.238,4.396
reasoning,finance,multi,cloud,consumer_gpu,medium,0,medium,factual,Claude-2,3.037,3.56,5.448,1.542,-0.098
generation,legal,en,cloud,consumer_gpu,medium,0,medium,creative,Deepseek,1.861,4.305,2.595,1.601,4.412
summarization,technical,multi,cloud,consumer_gpu,high,1,high,formal,GPT-4o,3.552,3.078,0.898,0.995,-0.854
extraction,general,en,local,consumer_gpu,high,1,high,formal,Llama-3-70B,-1.139,-1.082,-1.105,5.03,4.836
reasoning,medical,pt,cloud,pro_gpu,low,0,low,factual,Claude-2,2.724,4.2,4.698,0.934,1.031
summarization,legal,pt,local,cpu,medium,0,high,factual,Llama-3-70B,0.365,2.227,-1.232,4.239,4.031
summarization,technical,pt,local,consumer_gpu,high,0,low,factual,Llama-3-70B,0.836,1.605,-1.625,3.053,3.039
extraction,finance,multi,cloud,consumer_gpu,medium,0,high,factual,Llama-3-70B,1.17,3.173,3.278,3.479,2.053
classification,finance,pt,cloud,consumer_gpu,low,0,high,creative,Claude-2,1.083,3.012,3.973,3.285,1.885
generation,ecommerce,en,hybrid,consumer_gpu,high,1,high,factual,Gemini,1.193,3.947,1.718,1.839,3.676
classification,legal,en,cloud,consumer_gpu,high,1,low,factual,Claude-2,1.237,3.623,5.741,3.772,1.71
generation,technical,pt,cloud,consumer_gpu,medium,1,low,precise,Gemini,1.3,4.12,0.211,0.841,3.19
generation,medical,en,local,pro_gpu,high,0,low,formal,Deepseek,-1.244,2.398,0.47,3.409,5.79
generation,technical,en,local,consumer_gpu,high,1,high,creative,Deepseek,-0.235,1.06,-0.876,2.772,5.908
summarization,finance,pt,hybrid,consumer_gpu,medium,1,low,formal,Gemini,3.285,4.934,1.086,2.289,2.764
classification,medical,multi,cloud,cpu,high,0,low,formal,Llama-3-70B,0.275,1.52,3.526,4.525,0.562
summarization,general,pt,cloud,cpu,medium,0,medium,precise,Gemini,2.529,2.72,-0.472,1.734,1.921
reasoning,ecommerce,en,local,cpu,low,0,medium,factual,Deepseek,-0.409,-0.133,1.908,3.1,3.448
extraction,finance,pt,hybrid,consumer_gpu,high,1,medium,formal,Deepseek,0.897,2.454,0.801,3.788,4.262
generation,technical,multi,cloud,cpu,low,0,high,formal,Gemini,0.183,3.357,1.196,1.247,1.804
summarization,technical,pt,local,consumer_gpu,medium,0,high,creative,Deepseek,1.809,0.764,-2.277,3.143,3.844
reasoning,legal,multi,cloud,pro_gpu,low,1,high,precise,Claude-2,2.588,4.204,6.335,1.118,-0.571
generation,finance,en,hybrid,consumer_gpu,low,1,medium,factual,Gemini,0.385,6.22,4.51,1.552,3.506
extraction,general,pt,cloud,consumer_gpu,medium,1,medium,creative,Deepseek,1.733,1.01,-0.465,3.049,3.655
reasoning,general,en,hybrid,consumer_gpu,medium,1,high,precise,Claude-2,3.298,1.38,3.534,1.779,1.471
summarization,legal,multi,local,pro_gpu,high,1,high,precise,Llama-3-70B,0.965,3.532,1.204,3.546,1.748
summarization,technical,pt,local,edge,medium,1,medium,factual,Deepseek,-0.123,0.625,-2.864,2.256,4.612
classification,ecommerce,multi,hybrid,pro_gpu,medium,0,high,factual,Llama-3-70B,0.778,1.749,3.8,4.028,0.616
generation,ecommerce,en,local,pro_gpu,high,0,medium,creative,Deepseek,-0.503,0.838,-1.252,2.953,5.793
reasoning,legal,multi,cloud,pro_gpu,low,1,high,creative,Claude-2,3.397,3.485,5.436,1.03,0.033
summarization,medical,pt,local,consumer_gpu,medium,1,medium,precise,Llama-3-70B,1.418,2.878,-0.263,3.905,3.501
reasoning,general,en,cloud,consumer_gpu,high,0,medium,formal,Claude-2,2.962,0.929,2.964,1.275,0.558
extraction,general,multi,cloud,consumer_gpu,low,0,low,formal,Llama-3-70B,0.807,1.715,1.947,2.414,1.118
generation,finance,multi,hybrid,edge,low,1,high,formal,Gemini,-0.82,4.592,2.905,0.527,3.838
classification,finance,en,local,cpu,high,0,low,factual,Llama-3-70B,-1.932,0.485,2.404,6.172,4.398
generation,legal,pt,cloud,cpu,low,0,high,factual,Gemini,0.061,5.362,2.044,1.541,3.609
reasoning,finance,en,hybrid,consumer_gpu,low,0,high,precise,Claude-2,2.594,4.497,6.271,1.737,1.8
classification,medical,multi,cloud,consumer_gpu,high,0,low,precise,Claude-2,0.75,3.321,5.376,3.41,-0.094
generation,legal,pt,cloud,consumer_gpu,low,0,low,precise,Gemini,0.553,6.113,2.687,1.42,2.951
generation,finance,multi,cloud,consumer_gpu,medium,0,medium,factual,Gemini,0.928,5.07,3.349,1.464,1.87
generation,legal,pt,hybrid,edge,medium,0,low,formal,Deepseek,0.264,3.784,-0.12,0.927,6.002
summarization,legal,multi,cloud,consumer_gpu,low,1,high,creative,Gemini,3.063,5.658,3.106,1.179,-0.042
reasoning,technical,en,local,consumer_gpu,high,0,high,creative,Deepseek,1.846,-0.997,0.809,2.919,3.837
classification,general,multi,cloud,consumer_gpu,low,1,medium,formal,Claude-2,0.521,2.117,4.395,2.187,-0.677
summarization,technical,multi,local,consumer_gpu,high,0,high,precise,Llama-3-70B,1.021,1.52,-0.566,2.962,1.684
extraction,ecommerce,multi,cloud,pro_gpu,low,0,medium,creative,Llama-3-70B,1.174,2.302,1.71,2.498,1.45
classification,finance,pt,local,pro_gpu,high,0,medium,factual,Llama-3-70B,-0.927,1.377,1.616,4.979,3.54
generation,legal,pt,cloud,edge,high,1,medium,formal,Deepseek,0.087,3.581,0.247,0.286,5.136
classification,general,multi,cloud,cpu,high,1,low,creative,Llama-3-70B,1.439,0.144,2.564,3.999,1.284
extraction,general,multi,local,edge,high,0,medium,precise,Deepseek,-1.93,-1.397,-1.435,4.007,4.783
generation,finance,pt,cloud,cpu,low,1,medium,precise,Gemini,-0.517,5.536,1.67,1.933,3.893
reasoning,technical,pt,cloud,pro_gpu,low,0,low,formal,Claude-2,2.155,1.864,2.739,0.304,0.407
generation,medical,en,hybrid,consumer_gpu,high,0,medium,precise,Gemini,1.092,5.357,3.15,2.18,4.584
summarization,general,en,cloud,consumer_gpu,medium,1,medium,formal,GPT-4o,3.348,3.196,1.017,0.838,0.834
classification,legal,multi,local,edge,low,0,medium,factual,Llama-3-70B,-2.395,1.284,3.48,4.13,2.699
extraction,technical,en,cloud,consumer_gpu,medium,0,high,formal,Deepseek,1.21,0.8,0.923,3.05,3.399
reasoning,finance,pt,hybrid,consumer_gpu,low,1,high,precise,Claude-2,3.122,4.321,4.663,1.907,1.978
classification,technical,multi,cloud,pro_gpu,high,0,high,precise,Claude-2,0.936,2.059,3.746,3.1,-0.367
extraction,ecommerce,multi,local,cpu,high,0,medium,precise,Llama-3-70B,-1.716,-0.932,-1.223,5.688,4.08
reasoning,legal,multi,hybrid,consumer_gpu,low,0,high,factual,Claude-2,2.588,4.356,6.292,2.135,0.299
reasoning,legal,pt,local,consumer_gpu,medium,1,low,formal,Deepseek,1.434,0.582,1.223,3.939,3.97
extraction,technical,en,cloud,cpu,medium,1,high,factual,Deepseek,0.141,0.886,0.596,3.729,3.978
classification,finance,en,cloud,edge,high,0,low,factual,Claude-2,0.115,2.3,4.21,2.501,2.868
reasoning,general,multi,cloud,pro_gpu,high,1,high,formal,GPT-4o,3.14,1.084,3.098,0.895,-0.931
reasoning,medical,en,local,pro_gpu,medium,1,high,factual,Llama-3-70B,1.219,1.104,3.027,3.639,3.422
generation,technical,en,cloud,pro_gpu,low,0,medium,precise,Gemini,0.712,4.823,2.837,0.227,2.742
generation,ecommerce,multi,cloud,cpu,low,1,low,factual,Gemini,0.052,4.126,2.229,1.245,2.182
classification,medical,multi,cloud,cpu,medium,0,medium,formal,Llama-3-70B,-0.006,1.429,3.396,4.523,0.674
generation,general,en,cloud,consumer_gpu,high,0,medium,factual,Gemini,1.307,3.593,1.359,0.777,3.247
extraction,ecommerce,pt,hybrid,cpu,high,0,high,factual,Deepseek,0.169,0.79,-0.568,4.7,4.823
extraction,finance,multi,local,edge,high,0,high,formal,Deepseek,-1.71,-0.572,-0.765,4.417,5.552
classification,finance,multi,local,pro_gpu,high,1,medium,formal,Llama-3-70B,-1.193,0.309,2.569,5.49,2.007
generation,finance,en,hybrid,consumer_gpu,low,0,medium,precise,Gemini,0.348,6.154,4.015,1.978,4.007
extraction,medical,multi,local,consumer_gpu,low,0,low,precise,Llama-3-70B,-1.869,2.014,1.901,4.87,3.483
generation,technical,pt,hybrid,consumer_gpu,low,1,high,creative,Deepseek,0.91,3.816,0.299,1.341,4.014
generation,ecommerce,en,cloud,edge,high,1,high,precise,Deepseek,-0.144,2.735,0.591,-0.054,4.835
reasoning,general,multi,cloud,consumer_gpu,low,0,low,precise,Claude-2,2.768,2.44,4.866,0.662,-1.23
summarization,medical,multi,cloud,pro_gpu,high,1,low,creative,Gemini,4.164,5.108,2.575,1.616,1.204
generation,finance,pt,local,consumer_gpu,high,0,high,factual,Deepseek,-0.946,3.31,-0.232,3.578,5.235
summarization,ecommerce,multi,cloud,consumer_gpu,medium,1,medium,precise,Gemini,3.209,3.934,1.654,0.991,-0.806
extraction,general,pt,local,cpu,medium,0,high,precise,Llama-3-70B,-1.697,-0.986,-2.612,6.025,5.733
extraction,ecommerce,multi,local,pro_gpu,low,1,medium,formal,Llama-3-70B,-1.387,-0.204,-0.005,4.465,3.045
classification,legal,pt,local,cpu,low,1,medium,precise,Llama-3-70B,-2.374,1.374,2.065,5.713,3.479
summarization,legal,multi,local,cpu,medium,0,low,formal,Llama-3-70B,0.55,1.976,-0.558,4.438,2.699
generation,ecommerce,pt,local,consumer_gpu,high,1,medium,precise,Deepseek,-0.947,1.759,-1.847,2.843,4.862
classification,technical,en,cloud,edge,high,0,high,formal,Deepseek,-0.183,-0.166,1.987,1.857,2.636
